id,item,group,attraction_type,position,NP1,sent,NP2,main verb,sentence,question,ans1,ans2,ans3,ans4,target_ver,target_nonver,distractor_ver,distractor_nonver,condition,,,,,,,,,
127,22,D,baseline,subject,The unicorn,guessed that,the editor,wandered aimlessly in the woods.,The unicorn guessed that the editor wandered aimlessly in the woods.,Who wandered?,the editor,the editors,the unicorn,the unicorns,1,2,3,4,baseline_subject,,,,,,,,,
128,22,E,baseline,modifier,The editor,of,the unicorn,wandered aimlessly in the woods.,The editor of the unicorn wandered aimlessly in the woods.,Who wandered?,the unicorn,the unicorns,the editor,the editors,3,4,1,2,baseline_modifier,,,,,,,,,
129,22,F,semantic,subject,The writer,guessed that,the editor,wandered aimlessly in the woods.,The writer guessed that the editor wandered aimlessly in the woods.,Who wandered?,the editor,the editors,the writer,the writers,1,2,3,4,semantic_subject,,,,,,,,,
130,22,A,semantic,modifier,The editor,of,the writer,wandered aimlessly in the woods.,The editor of the writer wandered aimlessly in the woods.,Who wandered?,the writer,the writers,the editor,the editors,3,4,1,2,semantic_modifier,,,,,,,,,
131,22,B,morphological,subject,The unicorns,guessed that,the editor,wandered aimlessly in the woods.,The unicorns guessed that the editor wandered aimlessly in the woods.,Who wandered?,the editor,the editors,the unicorn,the unicorns,1,2,3,4,morphological_subject,,,,,,,,,
132,22,C,morphological,modifier,The editor,of,the unicorns,wandered aimlessly in the woods.,The editor of the unicorns wandered aimlessly in the woods.,Who wandered?,the unicorn,the unicorns,the editor,the editors,3,4,1,2,morphological_modifier,,,,,,,,,
133,23,E,baseline,subject,The dwarf,speculated that,the candidate,quit shortly after the scandal.,The dwarf speculated that the candidate quit shortly after the scandal.,Who quit?,the candidate,the candidates,the dwarf,the dwarves,1,2,3,4,baseline_subject,,,,,,,,,
134,23,F,baseline,modifier,The candidate,of,the dwarf,quit shortly after the scandal.,The candidate of the dwarf quit shortly after the scandal.,Who quit?,the dwarf,the dwarves,the candidate,the candidates,3,4,1,2,baseline_modifier,,,,,,,,,
135,23,A,semantic,subject,The politician,speculated that,the candidate,quit shortly after the scandal.,The politician speculated that the candidate quit shortly after the scandal.,Who quit?,the candidate,the candidates,the politician,the politicians,1,2,3,4,semantic_subject,,,,,,,,,
136,23,B,semantic,modifier,The candidate,of,the politician,quit shortly after the scandal.,The candidate of the politician quit shortly after the scandal.,Who quit?,the politician,the politicians,the candidate,the candidates,3,4,1,2,semantic_modifier,,,,,,,,,
137,23,C,morphological,subject,The dwarves,speculated that,the candidate,quit shortly after the scandal.,The dwarves speculated that the candidate quit shortly after the scandal.,Who quit?,the candidate,the candidates,the dwarf,the dwarves,1,2,3,4,morphological_subject,,,,,,,,,
138,23,D,morphological,modifier,The candidate,of,the dwarves,quit shortly after the scandal.,The candidate of the dwarves quit shortly after the scandal.,Who quit?,the dwarf,the dwarves,the candidate,the candidates,3,4,1,2,morphological_modifier,,,,,,,,,
139,24,F,baseline,subject,The gnome,hated that,the critic,shouted often over the phone.,The gnome hated that the critic shouted often over the phone.,Who shouted?,the critic,the critics,the gnome,the gnomes,1,2,3,4,baseline_subject,,,,,,,,,
140,24,A,baseline,modifier,The critic,of,the gnome,shouted often over the phone.,The critic of the gnome shouted often over the phone.,Who shouted?,the gnome,the gnomes,the critic,the critics,3,4,1,2,baseline_modifier,,,,,,,,,
141,24,B,semantic,subject,The columnist,hated that,the critic,shouted often over the phone.,The columnist hated that the critic shouted often over the phone.,Who shouted?,the critic,the critics,the columnist,the columnists,1,2,3,4,semantic_subject,,,,,,,,,
142,24,C,semantic,modifier,The critic,of,the columnist,shouted often over the phone.,The critic of the columnist shouted often over the phone.,Who shouted?,the columnist,the columnists,the critic,the critics,3,4,1,2,semantic_modifier,,,,,,,,,
143,24,D,morphological,subject,The gnomes,hated that,the critic,shouted often over the phone.,The gnomes hated that the critic shouted often over the phone.,Who shouted?,the critic,the critics,the gnomes,the gnomess,1,2,3,4,morphological_subject,,,,,,,,,
144,24,E,morphological,modifier,The critic,of,the gnomes,shouted often over the phone.,The critic of the gnomes shouted often over the phone.,Who shouted?,the gnome,the gnomes,the critic,the critics,3,4,1,2,morphological_modifier,,,,,,,,,
145,25,A,baseline,subject,The deity,thought that,the supporter,cheered for the opposing team.,The deity thought that the supporter cheered for the opposing team.,Who cheered?,the supporter,the supporters,the deity,the deities,1,2,3,4,baseline_subject,,,,,,,,,
146,25,B,baseline,modifier,The supporter,of,the deity,cheered for the opposing team.,The supporter of the deity cheered for the opposing team.,Who cheered?,the deity,the deities,the supporter,the supporters,3,4,1,2,baseline_modifier,,,,,,,,,
147,25,C,semantic,subject,The proponent,thought that,the supporter,cheered for the opposing team.,The proponent thought that the supporter cheered for the opposing team.,Who cheered?,the supporter,the supporters,the proponent,the proponents,1,2,3,4,semantic_subject,,,,,,,,,
148,25,D,semantic,modifier,The supporter,of,the proponent,cheered for the opposing team.,The supporter of the proponent cheered for the opposing team.,Who cheered?,the proponent,the proponents,the supporter,the supporters,3,4,1,2,semantic_modifier,,,,,,,,,
149,25,E,morphological,subject,The deities,thought that,the supporter,cheered for the opposing team.,The deities thought that the supporter cheered for the opposing team.,Who cheered?,the supporter,the supporters,the deity,the deities,1,2,3,4,morphological_subject,,,,,,,,,
150,25,F,morphological,modifier,The supporter,of,the deities,cheered for the opposing team.,The supporter of the deities cheered for the opposing team.,Who cheered?,the deity,the deities,the supporter,the supporters,3,4,1,2,morphological_modifier,,,,,,,,,
151,26,B,baseline,subject,The executive,denied that,the mechanic,panicked when the car crashed.,The executive denied that the mechanic panicked when the car crashed.,Who panicked?,the mechanic,the mechanics,the executive,the executives,1,2,3,4,baseline_subject,,,,,,,,,
152,26,C,baseline,modifier,The mechanic,of,the executive,panicked when the car crashed.,The mechanic of the executive panicked when the car crashed.,Who panicked?,the executive,the executives,the mechanic,the mechanics,3,4,1,2,baseline_modifier,,,,,,,,,
153,26,D,semantic,subject,The blacksmith,denied that,the mechanic,panicked when the car crashed.,The blacksmith denied that the mechanic panicked when the car crashed.,Who panicked?,the mechanic,the mechanics,the blacksmith,the blacksmiths,1,2,3,4,semantic_subject,,,,,,,,,
154,26,E,semantic,modifier,The mechanic,of,the blacksmith,panicked when the car crashed.,The mechanic of the blacksmith panicked when the car crashed.,Who panicked?,the blacksmith,the blacksmiths,the mechanic,the mechanics,3,4,1,2,semantic_modifier,,,,,,,,,
155,26,F,morphological,subject,The executives,denied that,the mechanic,panicked when the car crashed.,The executives denied that the mechanic panicked when the car crashed.,Who panicked?,the mechanic,the mechanics,the executives,the executivess,1,2,3,4,morphological_subject,,,,,,,,,
156,26,A,morphological,modifier,The mechanic,of,the executives,panicked when the car crashed.,The mechanic of the executives panicked when the car crashed.,Who panicked?,the executives,the executivess,the mechanic,the mechanics,3,4,1,2,morphological_modifier,,,,,,,,,
157,27,C,baseline,subject,The gremlin,realized that,the driver,stumbled frequently to everyone's surprise.,The gremlin realized that the driver stumbled frequently to everyone's surprise.,Who stumbled?,the driver,the drivers,the gremlin,the gremlins,1,2,3,4,baseline_subject,,,,,,,,,
158,27,D,baseline,modifier,The driver,of,the gremlin,stumbled frequently to everyone's surprise.,The driver of the gremlin stumbled frequently to everyone's surprise.,Who stumbled?,the gremlin,the gremlins,the driver,the drivers,3,4,1,2,baseline_modifier,,,,,,,,,
159,27,E,semantic,subject,The pilot,realized that,the driver,stumbled frequently to everyone's surprise.,The pilot realized that the driver stumbled frequently to everyone's surprise.,Who stumbled?,the driver,the drivers,the pilot,the pilots,1,2,3,4,semantic_subject,,,,,,,,,
160,27,F,semantic,modifier,The driver,of,the pilot,stumbled frequently to everyone's surprise.,The driver of the pilot stumbled frequently to everyone's surprise.,Who stumbled?,the pilot,the pilots,the driver,the drivers,3,4,1,2,semantic_modifier,,,,,,,,,
161,27,A,morphological,subject,The gremlins,realized that,the driver,stumbled frequently to everyone's surprise.,The gremlins realized that the driver stumbled frequently to everyone's surprise.,Who stumbled?,the driver,the drivers,the gremlin,the gremlins,1,2,3,4,morphological_subject,,,,,,,,,
162,27,B,morphological,modifier,The driver,of,the gremlins,stumbled frequently to everyone's surprise.,The driver of the gremlins stumbled frequently to everyone's surprise.,Who stumbled?,the gremlin,the gremlins,the driver,the drivers,3,4,1,2,morphological_modifier,,,,,,,,,
163,28,D,baseline,subject,The ogre,exclaimed that,the gardener,jogged fast towards the monument.,The ogre exclaimed that the gardener jogged fast towards the monument.,Who jogged?,the gardener,the gardeners,the ogre,the ogres,1,2,3,4,baseline_subject,,,,,,,,,
164,28,E,baseline,modifier,The gardener,of,the ogre,jogged fast towards the monument.,The gardener of the ogre jogged fast towards the monument.,Who jogged?,the ogre,the ogres,the gardener,the gardeners,3,4,1,2,baseline_modifier,,,,,,,,,
165,28,F,semantic,subject,The botanist,exclaimed that,the gardener,jogged fast towards the monument.,The botanist exclaimed that the gardener jogged fast towards the monument.,Who jogged?,the gardener,the gardeners,the botanist,the botanists,1,2,3,4,semantic_subject,,,,,,,,,
166,28,A,semantic,modifier,The gardener,of,the botanist,jogged fast towards the monument.,The gardener of the botanist jogged fast towards the monument.,Who jogged?,the botanist,the botanists,the gardener,the gardeners,3,4,1,2,semantic_modifier,,,,,,,,,
167,28,B,morphological,subject,The ogres,exclaimed that,the gardener,jogged fast towards the monument.,The ogres exclaimed that the gardener jogged fast towards the monument.,Who jogged?,the gardener,the gardeners,the ogre,the ogres,1,2,3,4,morphological_subject,,,,,,,,,
168,28,C,morphological,modifier,The gardener,of,the ogres,jogged fast towards the monument.,The gardener of the ogres jogged fast towards the monument.,Who jogged?,the ogre,the ogres,the gardener,the gardeners,3,4,1,2,morphological_modifier,,,,,,,,,
169,29,E,baseline,subject,The magician,thought that,the therapist,gasped after hearing the verdict.,The magician thought that the therapist gasped after hearing the verdict.,Who gasped?,the therapist,the therapists,the magician,the magicians,1,2,3,4,baseline_subject,,,,,,,,,
170,29,F,baseline,modifier,The therapist,of,the magician,gasped after hearing the verdict.,The therapist of the magician gasped after hearing the verdict.,Who gasped?,the magician,the magicians,the therapist,the therapists,3,4,1,2,baseline_modifier,,,,,,,,,
171,29,A,semantic,subject,The psychiatrist,thought that,the therapist,gasped after hearing the verdict.,The psychiatrist thought that the therapist gasped after hearing the verdict.,Who gasped?,the therapist,the therapists,the psychiatrist,the psychiatrists,1,2,3,4,semantic_subject,,,,,,,,,
172,29,B,semantic,modifier,The therapist,of,the psychiatrist,gasped after hearing the verdict.,The therapist of the psychiatrist gasped after hearing the verdict.,Who gasped?,the psychiatrist,the psychiatrists,the therapist,the therapists,3,4,1,2,semantic_modifier,,,,,,,,,
173,29,C,morphological,subject,The magicians,thought that,the therapist,gasped after hearing the verdict.,The magicians thought that the therapist gasped after hearing the verdict.,Who gasped?,the therapist,the therapists,the magician,the magicians,1,2,3,4,morphological_subject,,,,,,,,,
174,29,D,morphological,modifier,The therapist,of,the magicians,gasped after hearing the verdict.,The therapist of the magicians gasped after hearing the verdict.,Who gasped?,the magician,the magicians,the therapist,the therapists,3,4,1,2,morphological_modifier,,,,,,,,,
175,30,F,baseline,subject,The nymph,announced that,the accountant,gave up after the failure.,The nymph announced that the accountant gave up after the failure.,Who gave up?,the accountant,the accountants,the nymph,the nymphs,1,2,3,4,baseline_subject,,,,,,,,,
176,30,A,baseline,modifier,The accountant,of,the nymph,gave up after the failure.,The accountant of the nymph gave up after the failure.,Who gave up?,the nymph,the nymphs,the accountant,the accountants,3,4,1,2,baseline_modifier,,,,,,,,,
177,30,B,semantic,subject,The economist,announced that,the accountant,gave up after the failure.,The economist announced that the accountant gave up after the failure.,Who gave up?,the accountant,the accountants,the economist,the economists,1,2,3,4,semantic_subject,,,,,,,,,
178,30,C,semantic,modifier,The accountant,of,the economist,gave up after the failure.,The accountant of the economist gave up after the failure.,Who gave up?,the economist,the economists,the accountant,the accountants,3,4,1,2,semantic_modifier,,,,,,,,,
179,30,D,morphological,subject,The nymphs,announced that,the accountant,gave up after the failure.,The nymphs announced that the accountant gave up after the failure.,Who gave up?,the accountant,the accountants,the nymph,the nymphs,1,2,3,4,morphological_subject,,,,,,,,,
180,30,E,morphological,modifier,The accountant,of,the nymphs,gave up after the stressful year.,The accountant of the nymphs gave up after the stressful year.,Who gave up?,the nymph,the nymphs,the accountant,the accountants,3,4,1,2,morphological_modifier,,,,,,,,,
181,31,A,baseline,subject,The goblin,detested that,the classmate,yawned constantly during the concert.,The goblin detested that the classmate yawned constantly during the concert.,Who yawned?,the classmate,the classmates,the goblin,the goblins,1,2,3,4,baseline_subject,,,,,,,,,
182,31,B,baseline,modifier,The classmate,of,the goblin,yawned constantly during the concert.,The classmate of the goblin yawned constantly during the concert.,Who yawned?,the goblin,the goblins,the classmate,the classmates,3,4,1,2,baseline_modifier,,,,,,,,,
183,31,C,semantic,subject,The colleague,detested that,the classmate,yawned constantly during the concert.,The colleague detested that the classmate yawned constantly during the concert.,Who yawned?,the classmate,the classmates,the colleague,the colleagues,1,2,3,4,semantic_subject,,,,,,,,,
184,31,D,semantic,modifier,The classmate,of,the colleague,yawned constantly during the concert.,The classmate of the colleague yawned constantly during the concert.,Who yawned?,the colleague,the colleagues,the classmate,the classmates,3,4,1,2,semantic_modifier,,,,,,,,,
185,31,E,morphological,subject,The goblins,detested that,the classmate,yawned constantly during the concert.,The goblins detested that the classmate yawned constantly during the concert.,Who yawned?,the classmate,the classmates,the goblin,the goblins,1,2,3,4,morphological_subject,,,,,,,,,
186,31,F,morphological,modifier,The classmate,of,the goblins,yawned constantly during the concert.,The classmate of the goblins yawned constantly during the concert.,Who yawned?,the goblin,the goblins,the classmate,the classmates,3,4,1,2,morphological_modifier,,,,,,,,,
187,32,B,baseline,subject,The sphinx,suspected that,the knight,whispered that it was cursed.,The sphinx suspected that the knight whispered that it was cursed.,Who whispered?,the knight,the knights,the sphinx,the sphinxes,1,2,3,4,baseline_subject,,,,,,,,,
188,32,C,baseline,modifier,The knight,of,the sphinx,whispered that it was cursed.,The knight of the sphinx whispered that it was cursed.,Who whispered?,the sphinx,the sphinxes,the knight,the knights,3,4,1,2,baseline_modifier,,,,,,,,,
189,32,D,semantic,subject,The king,suspected that,the knight,whispered that it was cursed.,The king suspected that the knight whispered that it was cursed.,Who whispered?,the knight,the knights,the king,the kings,1,2,3,4,semantic_subject,,,,,,,,,
190,32,E,semantic,modifier,The knight,of,the king,whispered that it was cursed.,The knight of the king whispered that it was cursed.,Who whispered?,the king,the kings,the knight,the knights,3,4,1,2,semantic_modifier,,,,,,,,,
191,32,F,morphological,subject,The sphinxes,suspected that,the knight,whispered that it was cursed.,The sphinxes suspected that the knight whispered that it was cursed.,Who whispered?,the knight,the knights,the sphinx,the sphinxes,1,2,3,4,morphological_subject,,,,,,,,,
192,32,A,morphological,modifier,The knight,of,the sphinxes,whispered that it was cursed.,The knight of the sphinxes whispered that it was cursed.,Who whispered?,the sphinx,the sphinxes,the knight,the knights,3,4,1,2,morphological_modifier,,,,,,,,,
193,33,C,baseline,subject,The minotaur,swore that,the teammate,yelled repeatedly at the referee.,The minotaur swore that the teammate yelled repeatedly at the referee.,Who yelled?,the teammate,the teammates,the minotaur,the minotaurs,1,2,3,4,baseline_subject,,,,,,,,,
194,33,D,baseline,modifier,The teammate,of,the minotaur,yelled repeatedly at the referee.,The teammate of the minotaur yelled repeatedly at the referee.,Who yelled?,the minotaur,the minotaurs,the teammate,the teammates,3,4,1,2,baseline_modifier,,,,,,,,,
195,33,E,semantic,subject,The opponent,swore that,the teammate,yelled repeatedly at the referee.,The opponent swore that the teammate yelled repeatedly at the referee.,Who yelled?,the teammate,the teammates,the opponent,the opponents,1,2,3,4,semantic_subject,,,,,,,,,
196,33,F,semantic,modifier,The teammate,of,the opponent,yelled repeatedly at the referee.,The teammate of the opponent yelled repeatedly at the referee.,Who yelled?,the opponent,the opponents,the teammate,the teammates,3,4,1,2,semantic_modifier,,,,,,,,,
197,33,A,morphological,subject,The minotaurs,swore that,the teammate,yelled repeatedly at the referee.,The minotaurs swore that the teammate yelled repeatedly at the referee.,Who yelled?,the teammate,the teammates,the minotaur,the minotaurs,1,2,3,4,morphological_subject,,,,,,,,,
198,33,B,morphological,modifier,The teammate,of,the minotaurs,yelled repeatedly at the referee.,The teammate of the minotaurs yelled repeatedly at the referee.,Who yelled?,the minotaur,the minotaurs,the teammate,the teammates,3,4,1,2,morphological_modifier,,,,,,,,,
199,34,D,baseline,subject,The titan,overheard that ,the counselor,cursed everyone who left work.,The titan overheard that  the counselor cursed everyone who left work.,Who cursed?,the counselor,the counselors,the titan,the titans,1,2,3,4,baseline_subject,,,,,,,,,
200,34,E,baseline,modifier,The counselor,of,the titan,cursed everyone who left work.,The counselor of the titan cursed everyone who left work.,Who cursed?,the titan,the titans,the counselor,the counselors,3,4,1,2,baseline_modifier,,,,,,,,,
201,34,F,semantic,subject,The advisor,overheard that ,the counselor,cursed everyone who left work.,The advisor overheard that  the counselor cursed everyone who left work.,Who cursed?,the counselor,the counselors,the advisor,the advisors,1,2,3,4,semantic_subject,,,,,,,,,
202,34,A,semantic,modifier,The counselor,of,the advisor,cursed everyone who left work.,The counselor of the advisor cursed everyone who left work.,Who cursed?,the advisor,the advisors,the counselor,the counselors,3,4,1,2,semantic_modifier,,,,,,,,,
203,34,B,morphological,subject,The titans,overheard that ,the counselor,cursed everyone who left work.,The titans overheard that  the counselor cursed everyone who left work.,Who cursed?,the counselor,the counselors,the titan,the titans,1,2,3,4,morphological_subject,,,,,,,,,
204,34,C,morphological,modifier,The counselor,of,the titans,cursed everyone who left work.,The counselor of the titans cursed everyone who left work.,Who cursed?,the titan,the titans,the counselor,the counselors,3,4,1,2,morphological_modifier,,,,,,,,,
205,35,E,baseline,subject,The banshee,noticed that,the psychologist,talked only in a whisper.,The banshee noticed that the psychologist talked only in a whisper.,Who talked?,the psychologist,the psychologists,the banshee,the banshees,1,2,3,4,baseline_subject,,,,,,,,,
206,35,F,baseline,modifier,The psychologist,of,the banshee,talked only in a whisper.,The psychologist of the banshee talked only in a whisper.,Who talked?,the banshee,the banshees,the psychologist,the psychologists,3,4,1,2,baseline_modifier,,,,,,,,,
207,35,A,semantic,subject,The mathematician,noticed that,the psychologist,talked only in a whisper.,The mathematician noticed that the psychologist talked only in a whisper.,Who talked?,the psychologist,the psychologists,the mathematician,the mathematicians,1,2,3,4,semantic_subject,,,,,,,,,
208,35,B,semantic,modifier,The psychologist,of,the mathematician,talked only in a whisper.,The psychologist of the mathematician talked only in a whisper.,Who talked?,the mathematician,the mathematicians,the psychologist,the psychologists,3,4,1,2,semantic_modifier,,,,,,,,,
209,35,C,morphological,subject,The banshees,noticed that,the psychologist,talked only in a whisper.,The banshees noticed that the psychologist talked only in a whisper.,Who talked?,the psychologist,the psychologists,the banshee,the banshees,1,2,3,4,morphological_subject,,,,,,,,,
210,35,D,morphological,modifier,The psychologist,of,the banshees,talked only in a whisper.,The psychologist of the banshees talked only in a whisper.,Who talked?,the banshee,the banshees,the psychologist,the psychologists,3,4,1,2,morphological_modifier,,,,,,,,,
211,36,F,baseline,subject,The satyr,discovered that,the programmer,drank at the company party.,The satyr discovered that the programmer drank at the company party.,Who drank?,the programmer,the programmers,the satyr,the satyrs,1,2,3,4,baseline_subject,,,,,,,,,
212,36,A,baseline,modifier,The programmer,of,the satyr,drank at the company party.,The programmer of the satyr drank at the company party.,Who drank?,the satyr,the satyrs,the programmer,the programmers,3,4,1,2,baseline_modifier,,,,,,,,,
213,36,B,semantic,subject,The researcher,discovered that,the programmer,drank at the company party.,The researcher discovered that the programmer drank at the company party.,Who drank?,the programmer,the programmers,the researcher,the researchers,1,2,3,4,semantic_subject,,,,,,,,,
214,36,C,semantic,modifier,The programmer,of,the researcher,drank at the company party.,The programmer of the researcher drank at the company party.,Who drank?,the researcher,the researchers,the programmer,the programmers,3,4,1,2,semantic_modifier,,,,,,,,,
215,36,D,morphological,subject,The satyrs,discovered that,the programmer,drank at the company party.,The satyrs discovered that the programmer drank at the company party.,Who drank?,the programmer,the programmers,the satyr,the satyrs,1,2,3,4,morphological_subject,,,,,,,,,
216,36,E,morphological,modifier,The programmer,of,the satyrs,drank at the company party.,The programmer of the satyrs drank at the company party.,Who drank?,the satyr,the satyrs,the programmer,the programmers,3,4,1,2,morphological_modifier,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
